Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,64.830002,64.849998,63.990002,64.000000,60.007000,1069400
2019-05-02,65.570000,65.720001,64.860001,64.900002,60.850853,1482400
2019-05-03,66.099998,66.160004,65.489998,65.489998,61.404041,1257800
2019-05-06,64.910004,65.550003,64.690002,65.250000,61.179012,1378400
2019-05-07,63.430000,63.529999,62.529999,63.049999,59.116276,5041000
2019-05-08,63.330002,63.939999,63.180000,63.500000,59.538197,2030100
2019-05-09,63.480000,64.110001,63.380001,63.980000,59.988251,1101200
2019-05-10,63.880001,64.529999,63.660000,64.489998,60.466431,1009000
2019-05-13,64.919998,65.150002,64.029999,64.279999,60.269527,1095400
2019-05-14,64.820000,65.349998,64.730003,65.010002,60.953987,1048300
2019-05-15,64.910004,65.739998,64.830002,65.650002,61.554058,1601800
2019-05-16,65.019997,65.470001,64.930000,65.250000,62.067719,986900
2019-05-17,65.260002,65.480003,65.089996,65.110001,61.934547,1069300
2019-05-20,65.250000,65.529999,64.940002,65.180000,62.001133,839500
2019-05-21,65.639999,65.769997,65.339996,65.360001,62.172356,913700
2019-05-22,65.379997,65.559998,64.650002,64.650002,61.496983,1215000
2019-05-23,63.630001,63.639999,62.980000,63.480000,60.384041,1515800
2019-05-24,64.120003,64.239998,63.680000,64.209999,61.078442,755100
2019-05-28,64.339996,64.440002,63.570000,63.570000,60.469650,852500
2019-05-29,62.770000,63.349998,62.740002,63.299999,60.212822,990500
2019-05-30,63.290001,63.439999,62.930000,63.209999,60.127209,1964200
2019-05-31,62.580002,63.220001,62.549999,62.860001,59.794285,1964800
2019-06-03,63.459999,63.700001,63.139999,63.610001,60.507706,1295400
2019-06-04,63.299999,63.750000,63.000000,63.740002,60.631367,1229300
2019-06-05,64.419998,64.430000,63.480000,63.910000,60.793072,1038800
2019-06-06,64.400002,65.019997,64.389999,64.910004,61.744308,853500
2019-06-07,65.110001,65.610001,65.080002,65.330002,62.143818,1448900
2019-06-10,65.440002,65.559998,65.080002,65.180000,62.001133,1216100
2019-06-11,65.980003,65.980003,65.309998,65.360001,62.172356,1747000
2019-06-12,64.919998,65.000000,64.150002,64.300003,61.164055,1029300
2019-06-13,64.699997,64.739998,64.269997,64.470001,61.325764,1032100
2019-06-14,64.250000,64.330002,64.010002,64.180000,61.049904,857800
2019-06-17,63.540001,64.120003,63.480000,63.700001,60.593315,854800
2019-06-18,64.470001,64.849998,64.339996,64.650002,61.496983,1202900
2019-06-19,65.019997,65.320000,64.900002,65.139999,61.963085,1297700
2019-06-20,66.370003,66.650002,66.029999,66.339996,63.104561,1451800
2019-06-21,66.709999,66.959999,66.370003,66.650002,63.399441,1121500
2019-06-24,66.760002,66.959999,66.599998,66.800003,63.542130,919300
2019-06-25,66.970001,67.050003,66.599998,66.629997,63.380417,1183600
2019-06-26,67.220001,67.449997,66.959999,66.970001,63.703831,1054100
2019-06-27,66.669998,66.720001,65.900002,65.910004,62.695534,1574800
2019-06-28,66.190002,66.190002,65.680000,65.739998,62.533821,1975000
2019-07-01,67.169998,67.180000,65.790001,65.800003,62.590897,2731200
2019-07-02,66.650002,66.680000,65.489998,65.529999,62.334064,4544800
